    Pol-Flux             x               r               R                R+r              Te                ne               Ti             Zeff           omega-tor            Er               ni             nimp              nf               Tf
 0.00000000e+000  0.00000000e+000  0.00000000e+000  1.00000000e+002  1.00000000e+002  2.00000000e+003  2.86341349e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.86341349e+014  0.00000000e+000  2.86341349e+008  4.00000000e+003
 3.90625000e-003  8.02827036e-003  1.13592284e+000  1.00000000e+002  1.01135923e+002  2.00000000e+003  2.85824031e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.85824031e+014  0.00000000e+000  2.85824031e+008  4.00000000e+003
 7.81250000e-003  1.13536888e-002  1.60721970e+000  1.00000000e+002  1.01607220e+002  2.00000000e+003  2.85288172e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.85288172e+014  0.00000000e+000  2.85288172e+008  4.00000000e+003
 1.17187500e-002  1.39053722e-002  1.96939063e+000  1.00000000e+002  1.01969391e+002  2.00000000e+003  2.84733186e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.84733186e+014  0.00000000e+000  2.84733186e+008  4.00000000e+003
 1.56250000e-002  1.60565407e-002  2.27515926e+000  1.00000000e+002  1.02275159e+002  2.00000000e+003  2.84158477e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.84158477e+014  0.00000000e+000  2.84158477e+008  4.00000000e+003
 1.95312500e-002  1.79517583e-002  2.54493650e+000  1.00000000e+002  1.02544937e+002  2.00000000e+003  2.83563438e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.83563438e+014  0.00000000e+000  2.83563438e+008  4.00000000e+003
 2.34375000e-002  1.96651659e-002  2.78918482e+000  1.00000000e+002  1.02789185e+002  2.00000000e+003  2.82947448e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.82947448e+014  0.00000000e+000  2.82947448e+008  4.00000000e+003
 2.73437500e-002  2.12408068e-002  3.01411617e+000  1.00000000e+002  1.03014116e+002  2.00000000e+003  2.82309876e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.82309876e+014  0.00000000e+000  2.82309876e+008  4.00000000e+003
 3.12500000e-002  2.27073777e-002  3.22377585e+000  1.00000000e+002  1.03223776e+002  2.00000000e+003  2.81650082e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.81650082e+014  0.00000000e+000  2.81650082e+008  4.00000000e+003
 3.51562500e-002  2.40848111e-002  3.42097229e+000  1.00000000e+002  1.03420972e+002  2.00000000e+003  2.80967411e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.80967411e+014  0.00000000e+000  2.80967411e+008  4.00000000e+003
 3.90625000e-002  2.53876200e-002  3.60774921e+000  1.00000000e+002  1.03607749e+002  2.00000000e+003  2.80261202e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.80261202e+014  0.00000000e+000  2.80261202e+008  4.00000000e+003
 4.29687500e-002  2.66267605e-002  3.78564865e+000  1.00000000e+002  1.03785649e+002  2.00000000e+003  2.79530783e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.79530783e+014  0.00000000e+000  2.79530783e+008  4.00000000e+003
 4.68750000e-002  2.78107443e-002  3.95586798e+000  1.00000000e+002  1.03955868e+002  2.00000000e+003  2.78775474e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.78775474e+014  0.00000000e+000  2.78775474e+008  4.00000000e+003
 5.07812500e-002  2.89463404e-002  4.11935889e+000  1.00000000e+002  1.04119359e+002  2.00000000e+003  2.77994587e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.77994587e+014  0.00000000e+000  2.77994587e+008  4.00000000e+003
 5.46875000e-002  3.00390371e-002  4.27689262e+000  1.00000000e+002  1.04276893e+002  2.00000000e+003  2.77187427e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.77187427e+014  0.00000000e+000  2.77187427e+008  4.00000000e+003
 5.85937500e-002  3.10933574e-002  4.42910442e+000  1.00000000e+002  1.04429104e+002  2.00000000e+003  2.76353291e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.76353291e+014  0.00000000e+000  2.76353291e+008  4.00000000e+003
 6.25000000e-002  3.21130814e-002  4.57652489e+000  1.00000000e+002  1.04576525e+002  2.00000000e+003  2.75491475e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.75491475e+014  0.00000000e+000  2.75491475e+008  4.00000000e+003
 6.64062500e-002  3.31014067e-002  4.71960263e+000  1.00000000e+002  1.04719603e+002  2.00000000e+003  2.74601267e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.74601267e+014  0.00000000e+000  2.74601267e+008  4.00000000e+003
 7.03125000e-002  3.40610665e-002  4.85872089e+000  1.00000000e+002  1.04858721e+002  2.00000000e+003  2.73681954e+014  2.00000000e+003  1.00000000e+000  0.00000000e+000  0.00000000e+000  2.73681954e+014  0.00000000e+000  2.73681954e+008  4.00000000e+003
